  9.99999978E-03   1.0000000     -9.79999974E-02
  1.99999996E-02  0.99901998     -0.19599999    
  2.99999993E-02  0.99706000     -0.29400000    
  3.99999991E-02  0.99412000     -0.39199999    
  4.99999970E-02  0.99019998     -0.48999998    
  5.99999949E-02  0.98530000     -0.58800000    
  6.99999928E-02  0.97942001     -0.68599999    
  7.99999908E-02  0.97255999     -0.78399998    
  8.99999887E-02  0.96472001     -0.88199997    
  9.99999866E-02  0.95590001     -0.97999996    
  0.10999998      0.94610000      -1.0779999    
  0.11999998      0.93532002      -1.1760000    
  0.12999998      0.92356002      -1.2740000    
  0.13999999      0.91082001      -1.3720001    
  0.14999999      0.89710003      -1.4700001    
  0.16000000      0.88240004      -1.5680002    
  0.17000000      0.86672002      -1.6660002    
  0.18000001      0.85006005      -1.7640003    
  0.19000001      0.83242005      -1.8620003    
  0.20000002      0.81380004      -1.9600004    
  0.21000002      0.79420006      -2.0580003    
  0.22000003      0.77362007      -2.1560004    
  0.23000003      0.75206006      -2.2540004    
  0.24000004      0.72952008      -2.3520005    
  0.25000003      0.70600009      -2.4500005    
  0.26000002      0.68150008      -2.5480006    
  0.27000001      0.65602005      -2.6460006    
  0.28000000      0.62956005      -2.7440007    
  0.28999999      0.60212004      -2.8420007    
  0.29999998      0.57370001      -2.9400008    
  0.30999997      0.54430002      -3.0380008    
  0.31999996      0.51392001      -3.1360009    
  0.32999995      0.48256001      -3.2340009    
  0.33999994      0.45021999      -3.3320010    
  0.34999993      0.41689998      -3.4300010    
  0.35999992      0.38259998      -3.5280011    
  0.36999992      0.34731996      -3.6260011    
  0.37999991      0.31105995      -3.7240012    
  0.38999990      0.27381995      -3.8220012    
  0.39999989      0.23559994      -3.9200013    
  0.40999988      0.19639993      -4.0180011    
  0.41999987      0.15621991      -4.1160011    
  0.42999986      0.11505990      -4.2140012    
  0.43999985      7.29198903E-02  -4.3120012    
  0.44999984      2.97998786E-02  -4.4100013    
  0.45999983      1.43001340E-02   4.5080013    
  0.46999982      5.93801476E-02   4.4100013    
  0.47999981      0.10348016       4.3120012    
  0.48999980      0.14660017       4.2140012    
  0.49999979      0.18874018       4.1160011    
  0.50999981      0.22990018       4.0180011    
  0.51999980      0.27008018       3.9200010    
  0.52999979      0.30928019       3.8220010    
  0.53999978      0.34750021       3.7240009    
  0.54999977      0.38474020       3.6260009    
  0.55999976      0.42100021       3.5280008    
  0.56999975      0.45628023       3.4300008    
  0.57999974      0.49058023       3.3320007    
  0.58999974      0.52390021       3.2340007    
  0.59999973      0.55624020       3.1360006    
  0.60999972      0.58760023       3.0380006    
  0.61999971      0.61798024       2.9400005    
  0.62999970      0.64738023       2.8420005    
  0.63999969      0.67580026       2.7440004    
  0.64999968      0.70324028       2.6460004    
  0.65999967      0.72970027       2.5480003    
  0.66999966      0.75518024       2.4500003    
  0.67999965      0.77968025       2.3520002    
  0.68999964      0.80320024       2.2540002    
  0.69999963      0.82574022       2.1560001    
  0.70999962      0.84730023       2.0580001    
  0.71999961      0.86788023       1.9600000    
  0.72999960      0.88748020       1.8620000    
  0.73999959      0.90610021       1.7639999    
  0.74999958      0.92374021       1.6659999    
  0.75999957      0.94040018       1.5679998    
  0.76999956      0.95608020       1.4699998    
  0.77999955      0.97078019       1.3719997    
  0.78999954      0.98450017       1.2739997    
  0.79999954      0.99724019       1.1759996    
  0.80999953       1.0090002       1.0779996    
  0.81999952       1.0197802      0.97999960    
  0.82999951       1.0295801      0.88199961    
  0.83999950       1.0384001      0.78399962    
  0.84999949       1.0462401      0.68599963    
  0.85999948       1.0531001      0.58799964    
  0.86999947       1.0589801      0.48999965    
  0.87999946       1.0638801      0.39199966    
  0.88999945       1.0678000      0.29399967    
  0.89999944       1.0707400      0.19599968    
  0.90999943       1.0727000      9.79996845E-02
  0.91999942       1.0736800     -3.12924385E-07
  0.92999941       1.0736800     -9.80003104E-02
  0.93999940       1.0727000     -0.19600031    
  0.94999939       1.0707400     -0.29400030    
  0.95999938       1.0677999     -0.39200029    
  0.96999937       1.0638800     -0.49000028    
  0.97999936       1.0589800     -0.58800030    
  0.98999935       1.0531000     -0.68600029    
  0.99999934       1.0462400     -0.78400028    
   1.0099994       1.0383999     -0.88200027    
   1.0199994       1.0295799     -0.98000026    
   1.0299994       1.0197799      -1.0780003    
   1.0399994       1.0089999      -1.1760004    
